FID,OBJECTID,SLUM_CODE,SLUM_NAME,SRNO,CA,WARD_2017,PRABHAG_20,VILLEGE,LANDMARK,Road_Abutt,DECLARATIO,DECLARE_DT,DECLARE_AR,APPROX_HH,AREA_SQM,SNO_CTSNO_,OWNERSHIP,TENEBILITY,LANDUSE,POPULATION,SRA_STATUS,RAY_CODE_N,GIS_ID,SLUM_RATIN,Shape_Leng,Shape_Area,SCHEME_COV,DENSITY
0,1,1203083007,GANESH MALA GANDHI NAGAR,256,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,103,3153.412579,FP.NO.545,PRIVATE,TENABLE,EWS ZONE,618,NO,0810,TILK5304,72,253.205273,3153.412579, ,327
1,2,1203083011,GANESH MALA SHAHU NAGAR,260,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,81,2116.444851,FP.NO.545,PRIVATE,TENABLE,EWS ZONE,486,NO,0814,TILK5308,74,194.8350238,2116.444851, ,383
2,3,1203083009,GANESH MALA NEHRU NAGAR,258,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,32,1369.982229,FP.NO.545,PRIVATE,TENABLE,EWS ZONE,192,NO,0812,TILK5306,77,145.3502737,1369.982229, ,234
3,4,1203083008,GANESH MALA GANPAT NAGAR,257,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,42,2316.104842,FP.NO.545,PRIVATE,TENABLE,EWS ZONE,252,NO,0811,TILK5305,75,213.3810957,2316.104842, ,181
4,5,1203083302,DHAYRI GARMALA AMBEDKAR NAGAR,278,CA-1,08 SINHAGAD ROAD,33 VADAGAOV DHAYRI SUNCITY,DHAYRI,GARMALA DHAYRI,INTERNAL ROAD,NOT DECLARED, , ,106,3024.391279,S.NO.144,PRIVATE,TENABLE,RESIDENTIAL ZONE,636,NO,0809,TILK5402,77,346.1132177,3024.391279, ,350
5,6,1204112419,TUPE VASTI SHANKAR MATH,359,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M DP ROAD,NOT DECLARED, , ,443,14439.11669,S.NO.106A,PRIVATE + PMC + STATE GOVT,TENABLE,RESIDENTIAL ZONE,2658,NO,1226,HADA4210,69,1004.073948,14439.11669, ,307
6,7,1204112413,SHAH VASTI RAM TEKADI,353,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M DP ROAD,NOT DECLARED, , ,532,23428.61965,"S.NO.109(pt), 110A, 111",PRIVATE + STATE GOVT + FOREST,TENABLE,EWS ZONE,3192,NO,1527,KOND4606,68,660.3655616,23428.61965, ,227
7,8,1204112421,VALMIKI VASTI RAM TEKADI,361,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M DP ROAD,NOT DECLARED, , ,405,12984.24922,"S.NO.110A, 111",PRIVATE + STATE GOVT,TENABLE,EWS ZONE,2430,NO,1535,KOND4610,68,569.8110526,12984.24922, ,312
8,9,1204112415,SHIKALKAR VASTI RAM TEKADI,355,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAUR ROAD,60M DP ROAD,NOT DECLARED, , ,150,5824.838574,"S.NO.110A, 111",PRIVATE + STATE GOVT,TENABLE,EWS ZONE,900,NO,1530,KOND4608,70,513.5207915,5824.838574, ,258
9,10,1204112401,ANAND NAGAR RAM TEKADI,341,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,RAMTEKADI,30M DP ROAD,NOT DECLARED, , ,381,12966.79531,"S.NO.109(PT), 108A(pt)",FOREST,UNTENABLE,FOREST ZONE DP ROAD,2286,NO,1501,KOND4601,59,467.3076325,12966.79531, ,294
10,11,1204112407,LAXMI NAGAR RAM TEKADI,347,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,REMTEKDI,30M DP ROAD,NOT DECLARED, , ,122,12463.00053,S.NO.108A(pt),FOREST,UNTENABLE,FOREST ZONE DP ROAD,732,NO,1517,KOND4603,55,460.7497913,12463.00053, ,98
11,12,1204102210,MALWADI JANATA VASTI SADHANA VIDYALAYA-1,318,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,SADHANA VIDYALAYA,12M DP ROAD,DECLARED,MGG 22/12/1983 Pg 3432,55500 SQM,1246,37690.27074,S.NO.165,PRIVATE + PMC + STATE GOVT,TENABLE,EWS ZONE,7476,NO,1214,HADA4305-1,78,970.5689759,37690.27074, ,331
12,13,1205131601,213+214 GOSAVI PETH MANGALWAR PETH,376,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,KASBE PUNE,GOSAVI PETH MANGALWAR PETH,30M DP ROAD,DECLARED,MGG 12/04/1984 Pg 1356,3030.70 SQM,118,2996.797254,RAILWAY,RAILWAY,TENABLE,EWS ZONE,708,NO,0501,DHOL2305,78,245.3482292,2996.797254, ,394
13,14,1201032106,CHAVHAN CHAWL,90,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,SANGAMWADI TPS,TADIWALA ROAD,TADIWALA ROAD,NOT DECLARED, , ,50,3945.319574,"FP.NO.111, 112",PRIVATE,TENABLE,EWS AND RESIDENTIAL ZONE,300,NO,0514,DHOL2203,77,327.2055035,3945.319574, ,127
14,15,1202040905,WADAR VASTI PASHAN,151,CA-2,04 AUNDH BANER,09 BANER BALEADI PASHAN,PASHAN,PASHAN GAOTHAN,30M DP ROAD,NOT DECLARED, , ,20,775.5302214,S.NO.142,PRIVATE,REMOVED,DP ROAD,120,SLUM SEEMS TO BE REMOVED,0135,AUND1003,0,122.4184389,775.5302214, ,258
15,16,1202040901,BUDDHA WASTI  PASHAN,147,CA-2,04 AUNDH BANER,09 BANER BALEADI PASHAN,PASHAN,PASHAN GAOTHAN,30M DP ROAD,NOT DECLARED, , ,600,24002.38132,S.NO.1 AND GAOTHAN,PRIVATE,TENABLE,RESERVATION PS-50 EWS RESIDENTIAL ZONE,3600,NO,0109,AUND1001,68,764.3474309,24002.38132, ,250
16,17,1203074001,NAVEEN VASAHAT KATRAJ GAOTHAN,248,CA-1,07 DHANAKWADI SAHAKAR NAGAR,40 AMBEGAON DATTA NAGAR KATRAJ GAOTHAN,KATRAJ,KATRAJ LAKE,60M DP ROAD,NOT DECLARED, , ,70,40274.53891,S.NO.4,PMC + STATE GOVT + CENTRAL GOVT,TENABLE,EWS ZONE,2075,NO,1302,DHAN7602,74,959.6675916,40274.53891, ,17
17,18,1203091306,KHILARE VASTI PLOT NO.15 ERANDWANA,289,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,TPS-I (ERANDAWANA),MHATRE BRIDGE,RIVER SIDE ROAD,NOT DECLARED, , ,375,13387.44961,"FP.NO.15, 24, 26",PRIVATE + PMC,TENABLE,RESERVATION PS&HS-44 CPG-49 EWS ZONE,2190,NO,0223,GHOL3601,69,648.6328306,13387.44961, ,280
18,19,1202050711,KASAT VASTI OLD WARD NO.62,162,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,RAILWAY UNDER BRIDGE WAKADE WADI,42M MUMBAI PUNE ROAD,NOT DECLARED, , ,196,1102.43462,"FP.NO.59, 60",PRIVATE,TENABLE,RESIDENTIAL ZONE,1176,NO,0220,GHOL1303,75,148.199711,1102.43462, ,1778
19,20,1202050723,VETAL NAGAR SHIVAJI NAGAR,174,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,BHAMBHURDA,VETAL NAGAR ON SB ROAD,24M DP ROAD,NOT DECLARED, , ,500,7238.530392,"S.NO.101/1A, 101/2A",PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,3000,NO,0248,GHOL1108,75,475.0795394,7238.530392, ,691
20,21,1202061001,LOKMANYA NAGAR PARAMHANSA NAGAR,200,CA-2,06 KOTHRUD BAVDHAN,10 BAVDHAN KOTHRUD DEPO,KOTHRUD,VANAJ INDUSTRIES,24M DP ROAD,NOT DECLARED, , ,608,10928.79822,S.NO.90,PRIVATE,TENABLE,RESIDENTIAL ZONE,3648,NO,0311,KOTH2803,83,424.3550759,10928.79822, ,556
21,22,1202061203,BHIM NAGAR,218,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,ERANDWANA,PAUD ROAD,24M DP ROAD,DECLARED,MGG 08/10/1992 Pg 2254,6647.25 SQM,194,4624.843507,"S.NO.41/4+45+46/7 (CTS NO.333, 360)",PRIVATE,UNTENABLE,RESIDENTIAL + DP ROAD,1164,PRAPOSAL SUBMITTED BY BHAKTI ENTERPRISES FOR SR-2(7),0304,KOTH2602,57,286.4823682,4624.843507, ,419
